adresse_id,numero_rue,nom_rue,code_ville,nom_ville
90,114,Rue des Primevères,13500,MARTIGUES
91,25,Rue de la République,69120,VAULX-EN-VELIN
92,128,Rue des Saules,62800,LIEVIN
93,49,Rue de l'Industrie,95130,FRANCONVILLE
94,104,Rue des Peupliers,78100,SAINT-GERMAIN-EN-LAYE
95,103,Avenue de Verdun,59800,LILLE
96,27,Rue des Marronniers,21000,DIJON
97,52,Avenue de la Liberté,84000,AVIGNON
98,91,Rue Saint-Martin,95100,ARGENTEUIL
99,49,Rue de la Victoire,97232,LAMENTIN
100,22,Rue André Malraux,69100,VILLEURBANNE
101,75,Rue Pasteur,11100,NARBONNE
102,26,Rue des Platanes,49100,ANGERS
103,128,Rue du Port,93330,NEUILLY-SUR-MARNE
104,92,Rue René Cassin,95100,ARGENTEUIL
105,63,Rue de l'Union,78100,SAINT-GERMAIN-EN-LAYE
106,44,Rue Clémenceau,75002,PARIS
107,60,Rue du Général de Gaulle,92120,MONTROUGE
108,66,Rue Victor Hugo,75009,PARIS
109,60,Rue du Moulin,49000,ANGERS
110,23,Rue de la Liberté,67500,HAGUENAU
111,39,Rue de la Croix,83100,TOULON
112,33,Rue des Fleurs,75015,PARIS
113,84,Rue des Fleurs,83370,FREJUS
114,102,Rue des Peupliers,33100,BORDEAUX
115,39,Rue du Pont,13015,MARSEILLE
116,126,Rue des Bouleaux,75002,PARIS
117,89,Rue de l'Abbé Pierre,93160,NOISY-LE-GRAND
118,8,Rue Saint-Martin,6100,NICE
119,18,Rue des Cèdres,89290,AUXERRE
120,91,Rue des Jardins,59500,DOUAI
121,29,Rue de la Chapelle,78200,MANTES-LA-JOLIE
122,55,Rue du Soleil,3100,MONTLUCON
123,115,Rue de l'Abbé Pierre,94120,FONTENAY-SOUS-BOIS
124,40,Rue des Myosotis,93110,ROSNY-SOUS-BOIS
125,85,Rue de la Rivière,62000,ARRAS
126,126,Avenue de la République,25000,BESANCON
127,35,Rue Saint-Martin,78180,MONTIGNY-LE-BRETONNEUX
128,43,Rue des Vignes,13127,VITROLLES
129,40,Rue des Cèdres,75003,PARIS
130,127,Rue du Parc,13009,MARSEILLE
131,109,Rue des Fleurs,67200,STRASBOURG
132,116,Rue des Lilas,67100,STRASBOURG
133,97,Rue de la Liberté,6800,CAGNES-SUR-MER
134,71,Rue Émile Zola,92800,PUTEAUX
135,69,Rue du Cimetière,51100,REIMS
136,76,Rue du Chemin Vert,6100,NICE
137,17,Rue des Cèdres,6200,NICE
138,35,Rue Jean Moulin,13600,LA CIOTAT
139,38,Rue du Cimetière,92320,CHATILLON
140,31,Rue de la Solidarité,31000,TOULOUSE
141,35,Rue des Primevères,92200,NEUILLY-SUR-SEINE
142,99,Rue des Jardins,51100,REIMS
143,21,Rue Saint-Pierre,97430,TAMPON
144,93,Rue Anatole France,29000,QUIMPER
145,81,Rue de la Poste,59500,DOUAI
146,106,Rue de l'Hôtel de Ville,65000,TARBES
147,36,Rue des Vignes,75019,PARIS
148,108,Rue du 11 Novembre,97460,SAINT-PAUL
149,32,Rue du Cimetière,35000,RENNES
150,10,Rue des Lilas,94120,FONTENAY-SOUS-BOIS
151,19,Rue de la Solidarité,75017,PARIS
152,47,Rue des Peupliers,93160,NOISY-LE-GRAND
153,88,Rue du Parc,35700,RENNES
154,33,Rue du Stade,93150,LE BLANC-MESNIL
155,15,Rue Émile Zola,31300,TOULOUSE
156,105,Rue du Bois,57100,THIONVILLE
157,25,Rue des Primevères,94500,CHAMPIGNY-SUR-MARNE
158,62,Rue de la Solidarité,92130,ISSY-LES-MOULINEAUX
159,88,Rue de la Fraternité,69800,SAINT-PRIEST
160,48,Rue des Myosotis,69001,LYON
161,97,Rue du Marché,33000,BORDEAUX
162,100,Rue Marcel Pagnol,97490,SAINT-DENIS
163,13,Rue des Tulipes,75019,PARIS
164,127,Rue des Ormes,44600,SAINT-NAZAIRE
165,45,Rue des Coquelicots,94100,SAINT-MAUR-DES-FOSSES
166,97,Rue du 8 Mai 1945,37200,TOURS
167,25,Rue des Platanes,94000,CRETEIL
168,125,Rue de la Fontaine,34090,MONTPELLIER
169,44,Rue René Cassin,75004,PARIS
170,54,Rue des Myosotis,97490,SAINT-DENIS
171,66,Rue Marcel Pagnol,25000,BESANCON
172,71,Rue du Belvédère,91700,SAINTE-GENEVIEVE-DES-BOIS
173,128,Rue de la Paix,75009,PARIS
174,20,Rue des Lilas,75013,PARIS
175,71,Rue Jules Ferry,93290,TREMBLAY-EN-FRANCE
176,99,Rue André Malraux,56000,VANNES
177,62,Rue des Peupliers,92120,MONTROUGE
178,15,Rue des Prés,38400,SAINT-MARTIN-D'HERES
179,76,Rue des Ormes,95200,SARCELLES
180,115,Rue de la Victoire,69200,VENISSIEUX
181,70,Rue des Prés,38000,GRENOBLE
182,11,Rue du Stade,76000,ROUEN
183,112,Rue du Belvédère,67300,SCHILTIGHEIM
184,27,Rue de l'Église,93000,BOBIGNY
185,112,Rue Émile Zola,78000,VERSAILLES
186,25,Rue Saint-Martin,87000,LIMOGES
187,41,Rue du Soleil,83000,TOULON
188,88,Rue des Vignes,94000,CRETEIL
189,28,Rue Louis Pasteur,59200,TOURCOING
190,40,Rue de la Solidarité,84000,AVIGNON
191,3,Rue Marcel Pagnol,29200,BREST
192,30,Rue de l'Industrie,37100,TOURS
193,50,Rue des Écoles,69004,LYON
194,35,Rue des Tulipes,93800,EPINAY-SUR-SEINE
195,118,Rue des Pâquerettes,97460,SAINT-PAUL
196,89,Rue des Glycines,92800,PUTEAUX
197,58,Rue des Primevères,34080,MONTPELLIER
198,67,Rue des Peupliers,75008,PARIS
199,113,Rue de la Côte,78700,CONFLANS-SAINTE-HONORINE
200,53,Rue du Soleil,75019,PARIS
201,80,Rue Saint-Pierre,78500,SARTROUVILLE
202,6,Rue des Saules,41000,BLOIS
203,123,Rue du Général de Gaulle,25000,BESANCON
204,30,Rue des Lilas,69005,LYON
205,83,Rue de la Mairie,95200,SARCELLES
206,26,Rue du 11 Novembre,6130,GRASSE
207,64,Rue des Peupliers,93240,STAINS
208,4,Rue des Bouleaux,95140,GARGES-LES-GONESSE
209,86,Rue des Lilas,93330,NEUILLY-SUR-MARNE
210,30,Rue Clémenceau,93330,NEUILLY-SUR-MARNE
211,16,Rue du Cimetière,44300,NANTES
212,25,Rue de la Chapelle,51100,REIMS
213,51,Rue des Frères Lumière,97490,SAINT-DENIS
214,63,Rue des Marronniers,75007,PARIS
215,124,Rue de l'Industrie,62100,CALAIS
216,50,Rue de l'Abbé Pierre,94170,LE PERREUX-SUR-MARNE
217,26,Rue des Tulipes,59777,LILLE
218,57,Rue Jules Ferry,93130,NOISY-LE-SEC
219,127,Rue de la Garenne,33200,BORDEAUX
220,4,Rue des Platanes,13003,MARSEILLE
221,41,Rue Pierre Curie,94500,CHAMPIGNY-SUR-MARNE
222,73,Rue du Belvédère,94400,VITRY-SUR-SEINE
223,32,Rue de la Victoire,44000,NANTES
224,16,Rue des Roses,95200,SARCELLES
225,96,Rue Jean Moulin,54100,NANCY
226,30,Rue des Aulnes,44300,NANTES
227,18,Rue des Peupliers,76600,LE HAVRE
228,96,Rue Marcel Pagnol,97430,TAMPON
229,41,Rue des Coquelicots,75016,PARIS
230,62,Rue de la Côte,83500,LA SEYNE-SUR-MER
231,58,Rue des Vignes,77500,CHELLES
232,60,Rue de la Pépinière,93800,EPINAY-SUR-SEINE
233,63,Rue René Cassin,97420,PORT
234,31,Rue André Malraux,59160,LILLE
235,122,Rue de la Côte,38000,GRENOBLE
236,82,Rue des Sources,75116,PARIS
237,65,Rue René Cassin,59260,LILLE
238,72,Rue du Parc,69008,LYON
239,128,Rue de la Solidarité,95800,CERGY
240,17,Rue des Glycines,69006,LYON
241,77,Rue du Pont,36000,CHATEAUROUX
242,7,Rue de la Côte,77100,MEAUX
243,2,Rue du Lavoir,83370,FREJUS
244,46,Rue de la Solidarité,49000,ANGERS
245,86,Rue Anatole France,59000,LILLE
246,44,Rue du Parc,59100,ROUBAIX
247,101,Rue des Pâquerettes,93100,MONTREUIL
248,41,Rue de la Solidarité,62000,ARRAS
249,62,Rue des Frères Lumière,44200,NANTES
250,16,Rue des Peupliers,62200,BOULOGNE-SUR-MER
251,71,Rue des Acacias,13005,MARSEILLE
252,4,Rue des Coquelicots,92100,BOULOGNE-BILLANCOURT
253,8,Rue Clémenceau,56000,VANNES
254,61,Rue Pasteur,33600,PESSAC
255,106,Rue Georges Clemenceau,93500,PANTIN
256,83,Rue Jules Ferry,31400,TOULOUSE
257,119,Rue Georges Clemenceau,75003,PARIS
258,82,Avenue de Verdun,78000,VERSAILLES
259,12,Rue Aristide Briand,42400,SAINT-CHAMOND
260,31,Rue de la Victoire,91600,SAVIGNY-SUR-ORGE
261,25,Rue de la Poste,38100,GRENOBLE
262,121,Rue du Château,78180,MONTIGNY-LE-BRETONNEUX
263,12,Rue André Malraux,81100,CASTRES
264,58,Rue du Marché,6100,NICE
265,115,Rue Clémenceau,33000,BORDEAUX
266,71,Rue Jules Ferry,59640,DUNKERQUE
267,74,Rue des Coquelicots,49000,ANGERS
268,59,Rue Saint-Martin,6100,NICE
269,53,Rue Jean Moulin,35700,RENNES
270,42,Rue Saint-Martin,75002,PARIS
271,9,Rue Pasteur,71870,MACON
272,58,Rue des Chênes,95200,SARCELLES
273,78,Rue de la Fontaine,75004,PARIS
274,93,Rue des Jardins,13007,MARSEILLE
275,57,Rue des Pins,63000,CLERMONT-FERRAND
276,71,Rue du Calvaire,6400,CANNES
277,3,Rue des Cèdres,31400,TOULOUSE
278,45,Rue des Cèdres,80080,AMIENS
279,64,Rue Victor Hugo,13004,MARSEILLE
280,121,Avenue de la Liberté,75008,PARIS
281,128,Rue de l'Hôtel de Ville,6520,GRASSE
282,101,Rue Clémenceau,91100,CORBEIL-ESSONNES
283,127,Rue des Roses,35400,SAINT-MALO
284,41,Rue de l'Église,69100,VILLEURBANNE
285,98,Avenue de Verdun,59700,MARCQ-EN-BAROEUL
286,93,Rue de la Poste,67000,STRASBOURG
287,87,Rue Saint-Pierre,13013,MARSEILLE
288,44,Rue de l'Avenir,75012,PARIS
289,34,Rue Gambetta,6800,CAGNES-SUR-MER
290,46,Rue Saint-Martin,59800,LILLE
291,67,Rue Aristide Briand,44000,NANTES
292,62,Rue des Glycines,69800,SAINT-PRIEST
293,69,Rue de la Croix,75012,PARIS
294,95,Rue de Verdun,62200,BOULOGNE-SUR-MER
295,9,Rue des Cèdres,83600,FREJUS
296,8,Rue Saint-Martin,94140,ALFORTVILLE
297,21,Rue du Calvaire,13008,MARSEILLE
298,110,Rue de Verdun,13012,MARSEILLE
299,37,Rue des Chênes,92100,BOULOGNE-BILLANCOURT
300,54,Rue des Châtaigniers,6110,LE CANNET
301,15,Rue des Châtaigniers,69300,CALUIRE-ET-CUIRE
302,53,Rue des Peupliers,33400,TALENCE
303,110,Rue des Tulipes,13014,MARSEILLE
304,76,Rue Pierre Curie,21000,DIJON
305,85,Rue de la Liberté,69300,CALUIRE-ET-CUIRE
306,30,Rue Anatole France,49000,ANGERS
307,82,Rue André Malraux,13400,AUBAGNE
308,85,Rue de la République,29200,BREST
309,112,Rue Émile Zola,31770,COLOMIERS
310,55,Rue Saint-Martin,94600,CHOISY-LE-ROI
311,90,Rue Georges Clemenceau,67200,STRASBOURG
312,37,Rue du Chemin Vert,94120,FONTENAY-SOUS-BOIS
313,8,Avenue de la Liberté,91700,SAINTE-GENEVIEVE-DES-BOIS
314,66,Rue des Marronniers,6000,NICE
315,75,Rue Jean Moulin,13100,AIX-EN-PROVENCE
316,117,Rue des Glycines,93400,SAINT-OUEN
317,48,Rue des Fleurs,67100,STRASBOURG
318,128,Rue de l'Industrie,78800,HOUILLES
319,22,Rue du 8 Mai 1945,81100,CASTRES
320,69,Rue du Port,33000,BORDEAUX
321,20,Rue de la Liberté,20090,AJACCIO
322,64,Rue de la Liberté,83300,DRAGUIGNAN
323,72,Rue du Parc,75002,PARIS
324,31,Rue de l'Abbé Pierre,92400,COURBEVOIE
325,4,Rue des Pâquerettes,6300,NICE
326,125,Rue des Roses,45100,ORLEANS
327,60,Rue Anatole France,60155,BEAUVAIS
328,28,Rue des Vignes,13003,MARSEILLE
329,95,Rue du Calvaire,93700,DRANCY
330,61,Rue de la Solidarité,92120,MONTROUGE
331,35,Rue de la Gare,21000,DIJON
332,72,Rue des Frères Lumière,72000,LE MANS
333,22,Rue Gambetta,69400,VILLEFRANCHE-SUR-SAONE
334,93,Rue des Fleurs,75002,PARIS
335,15,Rue Gambetta,6110,LE CANNET
336,109,Rue des Peupliers,94140,ALFORTVILLE
337,123,Rue Louis Pasteur,13300,SALON-DE-PROVENCE
338,26,Rue Voltaire,49100,ANGERS
339,115,Rue Jules Ferry,21100,DIJON
340,3,Rue des Peupliers,17000,LA ROCHELLE
341,1,Rue du Château,75001,PARIS
342,42,Rue du Belvédère,76200,DIEPPE
343,124,Rue du Lavoir,13001,MARSEILLE
344,18,Rue des Peupliers,66000,PERPIGNAN
345,100,Rue des Ormes,42230,SAINT-ETIENNE
346,126,Rue des Marronniers,91600,SAVIGNY-SUR-ORGE
347,48,Rue du Lavoir,34500,BEZIERS
348,86,Rue des Écoles,54100,NANCY
349,74,Rue de la Poste,69006,LYON
350,11,Rue de la Garenne,91600,SAVIGNY-SUR-ORGE
351,92,Rue des Peupliers,91100,CORBEIL-ESSONNES
352,92,Rue des Bouleaux,84000,AVIGNON
353,80,Rue de la République,75004,PARIS
354,44,Rue des Glycines,83200,TOULON
355,113,Rue du Pont,65000,TARBES
356,122,Rue des Tulipes,13001,MARSEILLE
357,123,Rue de la Côte,69001,LYON
358,128,Rue du Moulin,6100,NICE
359,6,Rue des Châtaigniers,69007,LYON
360,84,Rue des Acacias,30000,NIMES
361,96,Rue des Marronniers,69005,LYON
362,88,Rue de la Mairie,93600,AULNAY-SOUS-BOIS
363,40,Rue des Primevères,75017,PARIS
364,19,Rue de la Paix,33300,BORDEAUX
365,53,Rue Henri Barbusse,6200,NICE
366,101,Rue du Moulin,60100,CREIL
367,51,Rue du Commerce,38130,ECHIROLLES
368,45,Rue du Moulin,66000,PERPIGNAN
369,34,Rue des Vignes,45000,ORLEANS
370,64,Rue de la Gare,33600,PESSAC
371,65,Rue du Château,75020,PARIS
372,21,Rue Henri Barbusse,97300,CAYENNE
373,119,Rue de la Mairie,97450,SAINT-LOUIS
374,37,Rue du 8 Mai 1945,92800,PUTEAUX
375,76,Rue des Jardins,17000,LA ROCHELLE
376,100,Rue des Pâquerettes,20000,AJACCIO
377,10,Avenue de la Liberté,6300,NICE
378,13,Rue des Sources,75020,PARIS
379,74,Rue des Écoles,97234,FORT-DE-FRANCE
380,119,Rue René Cassin,13100,AIX-EN-PROVENCE
381,127,Rue Voltaire,93160,NOISY-LE-GRAND
382,51,Rue Aristide Briand,69500,BRON
383,57,Rue des Myosotis,93150,LE BLANC-MESNIL
384,5,Rue de l'Industrie,87280,LIMOGES
385,1,Rue de l'Avenir,66000,PERPIGNAN
386,123,Rue des Glycines,60100,CREIL
387,80,Rue de l'Abbé Pierre,93700,DRANCY
388,53,Rue de la Marne,51000,CHALONS-EN-CHAMPAGNE
389,6,Rue de la Chapelle,59300,VALENCIENNES
390,49,Rue des Pâquerettes,6000,NICE
391,16,Rue Saint-Pierre,97460,SAINT-PAUL
392,75,Rue de la Solidarité,91100,CORBEIL-ESSONNES
393,99,Rue du Soleil,76600,LE HAVRE
394,20,Rue de l'Église,66100,PERPIGNAN
395,83,Rue de la Rivière,88000,EPINAL
396,109,Rue des Platanes,34080,MONTPELLIER
397,118,Rue du 11 Novembre,51100,REIMS
398,18,Rue de la Mairie,75012,PARIS
399,4,Rue du Poirier,92100,BOULOGNE-BILLANCOURT
400,1,Rue du 8 Mai 1945,6520,GRASSE
401,30,Rue des Vignes,75019,PARIS
402,57,Rue Clémenceau,6300,NICE
403,18,Rue Marcel Pagnol,87100,LIMOGES
404,70,Rue du Soleil,75016,PARIS
405,24,Rue Pasteur,13004,MARSEILLE
406,58,Rue de la Marne,75017,PARIS
407,13,Rue des Glycines,6100,NICE
408,68,Rue du Chemin Vert,77500,CHELLES
409,93,Rue Clémenceau,6200,NICE
410,95,Rue du Commerce,94300,VINCENNES
411,73,Avenue Charles de Gaulle,64000,PAU
412,110,Rue Henri Barbusse,92190,MEUDON
413,92,Rue Jean Moulin,97150,SAINT MARTIN
414,14,Rue du Soleil,75010,PARIS
415,111,Rue des Cèdres,31400,TOULOUSE
416,124,Rue de la Chapelle,45000,ORLEANS
417,98,Rue du Port,13127,VITROLLES
418,97,Rue du Marché,6800,CAGNES-SUR-MER
419,121,Rue Saint-Martin,69800,SAINT-PRIEST
420,31,Rue de la Mairie,31100,TOULOUSE
421,107,Rue des Vignes,54500,VANDOEUVRE-LES-NANCY
422,94,Rue de la Chapelle,97234,FORT-DE-FRANCE
423,83,Rue de l'Abbé Pierre,13004,MARSEILLE
424,95,Rue de la Rivière,97460,SAINT-PAUL
425,38,Rue Voltaire,31000,TOULOUSE
426,92,Rue Clémenceau,69100,VILLEURBANNE
427,39,Rue de la Côte,77100,MEAUX
428,19,Rue Georges Clemenceau,59150,WATTRELOS
429,57,Rue des Saules,75002,PARIS
430,117,Rue des Cèdres,91100,CORBEIL-ESSONNES
431,62,Rue Jean Moulin,60200,COMPIEGNE
432,62,Rue de la Fraternité,94800,VILLEJUIF
433,125,Rue des Ormes,6160,ANTIBES
434,103,Rue du Cimetière,75010,PARIS
435,120,Rue des Acacias,64000,PAU
436,24,Rue des Écoles,67300,SCHILTIGHEIM
437,36,Rue Anatole France,64000,PAU
438,125,Rue de la Paix,54100,NANCY
439,109,Rue Anatole France,93400,SAINT-OUEN
440,84,Rue de la Pépinière,50100,CHERBOURG-OCTEVILLE
441,58,Rue de l'Hôtel de Ville,97490,SAINT-DENIS
442,113,Rue du 8 Mai 1945,57050,METZ
443,62,Rue des Tulipes,13014,MARSEILLE
444,44,Rue du 11 Novembre,64000,PAU
445,120,Rue du 11 Novembre,83500,LA SEYNE-SUR-MER
446,5,Rue des Prés,97420,PORT
447,99,Rue des Châtaigniers,97432,SAINT-PIERRE
448,88,Rue des Coquelicots,6110,LE CANNET
449,44,Rue du Bois,93500,PANTIN
450,16,Rue des Myosotis,26100,ROMANS-SUR-ISERE
451,127,Rue de la Gare,33300,BORDEAUX
452,43,Rue des Saules,53000,LAVAL
453,103,Rue des Platanes,75015,PARIS
454,29,Rue de la Mairie,75001,PARIS
455,29,Rue Jean Jaurès,67100,STRASBOURG
456,26,Rue du Stade,74000,ANNECY
457,64,Rue du Château,93400,SAINT-OUEN
458,56,Rue des Myosotis,93140,BONDY
459,52,Rue Saint-Jean,97470,SAINT-BENOIT
460,98,Rue des Châtaigniers,78500,SARTROUVILLE
461,9,Rue des Fleurs,75010,PARIS
462,42,Rue Anatole France,75003,PARIS
463,74,Rue du Pont,92400,COURBEVOIE
464,18,Rue Voltaire,75011,PARIS
465,5,Rue des Roses,93210,SAINT-DENIS
466,18,Rue des Prés,13117,MARTIGUES
467,73,Rue de la Marne,17000,LA ROCHELLE
468,104,Rue des Cèdres,97432,SAINT-PIERRE
469,103,Rue de la Paix,84000,AVIGNON
470,54,Rue des Lilas,51100,REIMS
471,61,Rue de la Fraternité,31400,TOULOUSE
472,123,Rue des Coquelicots,22000,SAINT-BRIEUC
473,46,Rue du Belvédère,21000,DIJON
474,65,Rue du Chemin Vert,13500,MARTIGUES
475,107,Rue des Sources,34500,BEZIERS
476,101,Rue des Lilas,75016,PARIS
477,60,Rue des Lilas,44400,REZE
478,25,Rue du Bois,92100,BOULOGNE-BILLANCOURT
479,71,Rue de la Croix,97490,SAINT-DENIS
480,66,Rue des Peupliers,75007,PARIS
481,57,Rue des Tulipes,21000,DIJON
482,54,Rue de la Rivière,42000,SAINT-ETIENNE
483,95,Rue de la Paix,59200,TOURCOING
484,41,Rue des Marronniers,81990,ALBI
485,1,Rue des Aulnes,82000,MONTAUBAN
486,116,Rue du Chemin Vert,94800,VILLEJUIF
487,76,Rue Émile Zola,6600,ANTIBES
488,50,Rue du 11 Novembre,78700,CONFLANS-SAINTE-HONORINE
489,63,Rue de l'Industrie,75011,PARIS
490,51,Rue de la Gare,30000,NIMES
491,14,Rue de l'Union,75116,PARIS
492,128,Rue des Peupliers,13080,AIX-EN-PROVENCE
493,127,Rue du Port,69200,VENISSIEUX
494,85,Rue de la Mairie,17000,LA ROCHELLE
495,7,Rue Saint-Jean,68100,MULHOUSE
496,16,Rue de l'Industrie,77500,CHELLES
497,4,Rue du Belvédère,75005,PARIS
498,90,Rue des Myosotis,68000,COLMAR
499,43,Rue de la Paix,13006,MARSEILLE
500,56,Rue des Chênes,33600,PESSAC
501,43,Rue des Vignes,92220,BAGNEUX
502,7,Rue des Aulnes,37200,TOURS
503,67,Rue de la Solidarité,92130,ISSY-LES-MOULINEAUX
504,124,Rue des Pâquerettes,13400,AUBAGNE
505,105,Rue Pierre Curie,27000,EVREUX
506,27,Rue de la Garenne,13123,ARLES
507,67,Rue de la Fontaine,92120,MONTROUGE
508,116,Rue des Primevères,13400,AUBAGNE
509,17,Rue des Frères Lumière,59650,VILLENEUVE-D'ASCQ
510,30,Rue du Président Wilson,93110,ROSNY-SOUS-BOIS
511,95,Rue Jean Jaurès,44000,NANTES
512,20,Rue Marcel Pagnol,67200,STRASBOURG
513,112,Rue Pierre Curie,95000,CERGY
514,39,Rue des Tulipes,97490,SAINT-DENIS
515,114,Rue du Château,33100,BORDEAUX
516,15,Rue du Cimetière,37200,TOURS
517,110,Rue de la Gare,76610,LE HAVRE
518,51,Rue du Belvédère,59500,DOUAI
519,93,Rue de l'École,28100,DREUX
520,118,Rue de la Victoire,75009,PARIS
521,58,Rue des Roses,68000,COLMAR
522,77,Rue du Château,75011,PARIS
523,111,Rue de l'Industrie,31500,TOULOUSE
524,95,Rue Pierre Curie,75015,PARIS
525,65,Rue du Commerce,76000,ROUEN
526,11,Rue des Fleurs,83100,TOULON
527,1,Rue des Marronniers,97430,TAMPON
528,124,Rue des Acacias,79000,NIORT
529,73,Rue des Peupliers,69120,VAULX-EN-VELIN
530,3,Rue des Roses,33700,MERIGNAC
531,37,Rue des Primevères,59279,DUNKERQUE
532,104,Rue de l'Union,75005,PARIS
533,19,Rue du Stade,75010,PARIS
534,103,Rue du Cimetière,31000,TOULOUSE
535,47,Rue de la Chapelle,94800,VILLEJUIF
536,58,Rue de l'Abbé Pierre,54500,VANDOEUVRE-LES-NANCY
537,72,Rue Jean Moulin,31500,TOULOUSE
538,44,Rue des Saules,83700,SAINT-RAPHAEL
539,22,Rue de l'École,75015,PARIS
540,108,Rue du 8 Mai 1945,93140,BONDY
541,3,Rue de l'Industrie,38100,GRENOBLE
542,72,Rue du 11 Novembre,54100,NANCY
543,9,Rue de la Liberté,75011,PARIS
544,72,Rue des Roses,92600,ASNIERES-SUR-SEINE
545,62,Rue de la Liberté,33200,BORDEAUX
546,63,Rue de Verdun,95140,GARGES-LES-GONESSE
547,80,Rue Jules Ferry,81100,CASTRES
548,13,Rue de l'Avenir,62100,CALAIS
