iban,code_client,valorisation_en_cents
FR2730004088325690371294200,MG1854753,23083
FR3730004331940753821799601,MG1854753,106300
FR6030004583040284640335301,XK1009946,-198772
FR7330004576452432786310800,XK1009946,-356558
FR9330004747699311424495700,XK1009946,-380299
FR1430004243325958677430200,BP2559571,37624
FR8730004567281294361829101,BP2559571,110627
FR4530004620432047903858001,DH1409951,50888
FR6530004039885230410914100,CE4575534,47006
FR7530004232454370605747801,CE4575534,10296
FR0930004227835656132908200,CE4575534,23902
FR9030004810285631241814700,UG2023573,87000
FR8230004329018141491415900,UG2023573,31246
FR6030004733859170924489401,UG2023573,616831
FR0430004916203194296067100,UG2023573,27437
FR9630004448694443388511500,UG2023573,-14806
FR4530004620434619091944300,SR3205465,122880
FR7730004819803346253143100,SR3205465,24440
FR0930004227831134952156001,FE0375314,108161
FR9230004357300650365830901,FE0375314,27588
FR6330004626037326450519500,AG8783256,34350
FR9030004810288260441404701,AG8783256,42115
FR7530004129453822831201101,AG8783256,-139664
FR4330004382078650006152601,XJ7333176,89128
FR1030004236745713158724000,PL5381590,42430
FR5430004089243072153618000,PL5381590,150591
FR8230004020506626124232801,PL5381590,-473631
FR6130004475984162042346401,PL5381590,-32482
FR6030004367599655996201501,PL5381590,646296
FR1330004443515114160966800,MA3007229,14140
FR1530004383461277856474801,GW1962668,7184
FR3430004427366813554311900,CN6029738,206462
FR2930004299804262213637401,CN6029738,48219
FR6430004728022582577884900,CN6029738,61590
FR7230004193733034057361300,WA8992096,82385
FR5330004273438226518447001,WA8992096,-232235
FR4030004994423804428938600,JK3235560,-91418
FR2330004885641058323893300,JK3235560,9400
FR4030004994427016615414800,YA6494921,35952
FR1430004463155777070333900,MW8470613,-93892
FR0030004974758410581821700,AE7249140,68205
FR7530004820884376444536300,AE7249140,32817
FR1330004851317974982811500,PI6884043,49283
FR9030004810286579400123300,HT1517622,40845
FR5530004368810208059634901,XJ9124337,19140
FR5430004964671589740345001,XJ9124337,88738
FR5430004036941510329696401,NC2513626,2215
FR2030004531844564231158601,WG5279505,41489
FR2330004005447702906668501,WX1352275,175368
FR4730004783989581624926500,WX1352275,12174
FR0030004974759671193018901,UW3272530,-403687
FR6530004779535951629568600,MB3522146,16761
FR8830004443009510562180801,MB3522146,74390
FR5430004089245229170035900,UD0763506,125692
FR7030004094588412291214301,UD0763506,14027
FR8830004107902066210392900,UD0763506,25076
FR8530004079609951009369800,UD0763506,18875
FR8430004859192458060880801,UV3898911,2085
FR1730004139906237919918500,UV3898911,-87988
FR3730004249693045439247701,VK3724565,37940
FR2430004913066744714645201,DT7733668,29287
FR1630004994634481146695200,DT7733668,178424
FR3430004044302572243569501,NE9213612,8714
FR2930004854171911248084200,KU5579126,197538
FR9830004016246622788653000,OX9359559,221816
FR7830004343650412726674501,NA5873029,-406357
FR6730004392707648913117900,NA5873029,-285768
FR1530004015139828474055500,ZF0746440,6899
FR2330004885642400091286901,ZF0746440,-58872
FR3330004526306395677452400,ZF0746440,9832
FR8930004211199183289290700,ZF0746440,5577
FR4830004211797476912468200,LL0210070,39002
FR1630004599421532217122400,LL0210070,144839
FR7530004820886590433752901,CN4404082,-53312
FR7130004898537614958593600,CN4404082,30761
FR4530004620434502266389401,KI4756746,63671
FR7630004038525480181376200,KI4756746,15952
FR0130004806917063342321400,IX5523919,40913
FR3630004469578647640486701,NW5394721,530676
FR7830004343657878438767900,DG9230977,1170
FR3930004537472740830048400,VO4047038,16335
FR8930004640202383779626001,VO4047038,-389985
FR7730004819800001466987800,EQ9689543,27367
FR0330004001945731229365100,QD7673636,377501
FR2330004885644516918304301,BV6913242,31495
FR7530004964102187642392900,BV6913242,-79491
FR9330004175809345129660101,BV6913242,41851
FR2730004292406537169758800,BL3570675,-87186
FR2730004292406367388502100,IR2618754,32494
FR7330004866605472670417901,IR2618754,40832
FR0130004806911804715503901,IR2618754,230798
FR2730004088328647941689101,UO9573580,-76028
FR4830004211799191507767801,UO9573580,22016
FR9030004810281260504829200,TW3466509,-67860
FR2530004515704191171386800,RZ8292025,-56279
FR0730004128694097009045801,WX4142224,44826
FR3030004068628862930051700,WX4142224,-451107
FR3430004044305511519742401,BA7916895,-34996
FR3730004331650275217743000,BA7916895,-141925
FR2330004885644441534368300,BU6509354,-28104
FR0930004412670626664867000,FL8989132,28272
FR1730004710514038190532500,FL8989132,-54784
FR7930004612834922269993100,TC1734969,357841
FR8730004625916469404581401,NZ1542408,813469
FR4030004523510130237512800,NZ1542408,126469
FR7030004094586694068173100,XU9293867,-416262
FR6130004083931108240929801,AC4801425,34556
FR1730004615207836986398400,AC4801425,34473
FR6330004560352747214468400,XA7197665,23194
FR0930004412671494094492601,XA7197665,22634
FR4330004382070951681181000,MM6608120,1332
FR3630004480694774898346900,MM6608120,75343
FR9630004523633972679390700,VR7190184,-112034
FR6730004392709035302093500,VR7190184,43915
FR9630004523631180583935501,VR7190184,53888
FR3930004121362969598161401,VR7190184,26328
FR1930004101573569755262401,LY4321479,90935
FR6230004888357752621710301,LY4321479,54497
FR8930004640201167537942800,LY4321479,4493
FR4030004994422009314341301,AE5577431,23275
FR4330004382071302533080400,PZ2541074,144828
FR0130004806910009711188201,BS1945295,44755
FR0830004072226544191167900,BS1945295,12200
FR1830004114909089589909800,PC1070293,1308
FR6230004141840880726030500,DR1991123,5779
FR7930004630271161276438900,IR8099079,199417
FR4730004705807948947004701,IR8099079,479354
FR3930004121361504253839900,OQ4121829,-20403
FR2530004515709446912649700,OQ4121829,10870
FR7730004819809043578026300,ZX1643365,-68256
FR1830004114903590356075500,SN7385604,-11673
FR8930004211190598357891301,SN7385604,54772
FR7530004820881389534749801,SU0122492,36233
FR3130004753686741143190300,SU0122492,6668
FR2230004916332986305364900,SL2277319,160133
FR9230004591402171180526400,SL2277319,-24522
FR8330004585436392353514601,WK8982861,-216244
FR1130004070165733859801600,IY0973810,-36484
FR4730004783984593514435201,IY0973810,16278
FR4430004558785007761922600,IY0973810,152683
FR0330004363058824999051401,WX1677567,156674
FR8730004631253386151787500,WX1677567,88332
FR6230004141841743016035501,WX1677567,-23151
FR8930004640201435083648301,WX1677567,85181
FR0330004001946955194613900,NN5916858,-2103
FR8930004739135444124122000,ZU7217122,-291276
FR6130004475980552701980500,ZU7217122,47342
FR0930004026739544348952101,VT5306082,-307218
FR7330004801411905654905701,JD6415576,6078
FR7130004648269064064013501,JD6415576,40302
FR8530004972749167292182300,WJ4798525,571810
FR1530004015130369348688600,NI8474227,-29119
FR7530004964104603056422201,NI8474227,4882
FR1230004112786748923600901,NI8474227,36540
FR1030004072909507565820200,NI8474227,-24945
FR7030004893744413601916000,XD9052464,2804
FR9630004448690746908489000,WJ6493146,-93902
FR7830004343650271792580700,WJ6493146,530063
FR6130004291646481147514701,JL5924291,193323
FR9230004357600262694204900,JL5924291,44151
FR0330004363054295078980801,JL5924291,234294
FR1330004443515525202528000,JL5924291,75557
FR1030004236748308777845300,QZ1070077,24781
FR6530004039883906501745600,QZ1070077,39595
FR7830004343652473000592301,DR5410631,183586
FR6530004779535403717860400,MP4036554,173391
FR8930004640202756923817201,MP4036554,-95693
FR5430004964676216478134001,MP4036554,23602
FR1330004443511428358972900,MP4036554,74265
FR2930004325276185818176501,GD6225844,-6786
FR3430004324327841154099100,GD6225844,-6368
FR1930004101572461185952200,GD6225844,2011
FR7030004893741446364361201,IW2052747,66950
FR3730004072191534123520400,HB9751991,1044
FR3130004753684711368067000,HB9751991,-308505
FR8230004329019059115676100,EB0010005,163003
FR5130004286441892687191401,WV8317290,140005
FR6130004475984063346100400,KL7382606,8726
FR3330004526309493485016801,HN9548159,45291
FR1030004236743904197429200,HN9548159,-53701
FR7330004866601939517644401,WA4579125,2149
FR1730004139902736702200301,SN0531426,27112
FR5930004298153339360746500,SN0531426,79460
FR7930004368574525303957400,ZD4380642,-62254
FR6130004475986966368764200,ZD4380642,126716
FR0430004431251459494182301,ZD4380642,27169
FR9030004551750752863988300,ZD4380642,101039
FR7730004819809108050493301,AX6180113,9276812
FR3330004450766287472834001,AX6180113,-211067
FR9630004523635040403439000,CB3611154,422657
FR1530004383468990942608100,CB3611154,10595
FR0430004916200655281724701,CB3611154,22618
FR7230004078537682277210301,CB3611154,9124
FR2930004299806036497266901,CB3611154,26364
FR9330004747696507591385100,FR6249886,102156
FR1730004139906910820891900,FR6249886,46131
FR8430004859194352849771601,AK8623248,207316
FR2530004515703230873090600,YV9702584,1699
FR7230004193730852395619600,MQ2953226,106415
FR6230004888353301143227800,RV0442325,138160
FR7230004634683782877465900,WW7632316,45331
FR0430004916202782629971100,VY4698202,-31072
FR6230004888353403557305501,VY4698202,98181
FR6030004733857291379898901,VY4698202,-311769
FR5430004302378915984262301,VY4698202,8061
FR7730004733899702521918900,ZY2008424,250
FR9630004726812393347953800,FL3718014,137969
FR6430004728021542117981501,FL3718014,134835
FR1930004101571870276428700,WS4959835,560
FR1530004015139498110827801,WS4959835,-22617
FR9330004175806672342717400,JP0498686,67995
FR0730004108777241888682500,OI8339164,-30521
FR2030004531845060934243200,MQ6688879,21395
FR7530004964109499773367500,AQ6303346,137257
FR0930004412670499476555901,AQ6303346,40187
FR0230004773801270149074000,AQ6303346,38268
FR8930004739136820864608700,GV2960785,190399
FR1330004443512190553318100,ZF0737256,123457
FR6030004367590324300731900,ZF0737256,191610
FR9230004591403656078820801,ZF0737256,28741
FR6530004039884678214429100,ZU1664035,44814
FR5430004089248997312277101,ZU1664035,164119
FR4830004028708538750414101,ZU1664035,49024
FR0430004196566691708148501,ZU1664035,33693
FR3630004053094348305454400,ZU1664035,67176
FR6230004141843774496289900,AA5661404,36277
FR5430004964679803614289301,MF8675352,524653
FR7930004368575192270363500,MF8675352,-85880
FR7030004407486856080249701,VW6124025,187076
FR6730004392700978430969901,VE4438110,-262632
FR6930004681611340996348901,VE4438110,40853
FR1030004236747023823133301,VE4438110,126525
FR2930004325274505375599100,RD9762246,32752
FR8430004859198599437630501,JO7244599,9071194
FR2430004913065420117395801,ZV0911603,9736
FR0730004150142167677086000,ZV0911603,85488
FR4830004028707925671437500,ZV0911603,677402
FR0330004307744162132418900,ZV0911603,-24875
FR3430004427364231115502800,LN1953761,24109
FR7030004893747036241834201,LN1953761,23355
FR0330004035236592429590201,BN9811614,119546
FR0630004253455936387543101,YY4726093,49090
FR3330004450762029343647300,ET8196918,-69721
FR6530004097694965987946200,GO3372312,2344
FR9430004405569650412501200,GO3372312,890419
FR2330004885644183631229001,CR3739093,140703
FR4730004749486477848069100,CR3739093,-222013
FR1730004139906257393144901,BW9925406,1119
FR1430004243326181843371600,BW9925406,69742
FR9030004810284746363576600,NQ9374106,49201
FR3330004450766823402487001,UQ5652355,28719
FR7230004078533084188075901,UQ5652355,-308186
FR9230004591404754543881200,MY7145387,99616
FR6130004291640647569130501,MY7145387,12746
FR2430004936092411394066900,KR3127152,2507
FR6030004733853826156014100,KR3127152,22421
FR5330004273438588690981500,AO3193812,45402
FR6030004367599290238766600,VS9742597,545221
FR4330004382070272042853100,VS9742597,766227
FR4630004174328896736987901,PZ4327260,36911
FR8930004211197784511339501,RF2841913,-311697
FR9830004016248077652287601,RF2841913,27472
FR5230004624446997978221200,RF2841913,-284150
FR6230004141847951826504000,RF2841913,127963
FR1730004391195484224214100,CN4883308,-174515
FR7330004576457705074597701,BO4456479,193081
FR0330004001940485276266600,BO4456479,58908
FR4530004620435710703371300,YS7265586,34446
FR5930004298157586250200301,YS7265586,25820
FR2730004088326567697474800,YS7265586,42494
FR7230004193732807073829801,YS7265586,27031
FR1930004101574019814829401,HW5805830,23357
FR9630004448697983813851400,JB1603171,-394767
FR4430004558787467795831601,SU3579917,408583
FR0730004128691658306497100,SU9744410,-278613
FR3630004469576253523934600,SU9744410,-164046
FR0830004072226323040125000,SU9744410,106161
FR6430004539113343834443100,HE1250359,898927
FR6130004475987139471769601,OZ2641432,142969
FR8730004567287734452765600,OZ2641432,121797
FR9530004777957892398468501,BQ8064805,78357
FR9230004591403259073911401,BQ8064805,-413869
FR8230004329012189847958501,BQ8064805,45758
FR3730004331658708718068001,BN6591506,166823
FR9830004016241697695271501,QK8416632,20342
FR1830004114905192197976101,QK8416632,6689
FR0730004128699032269062601,ZN3504005,89938
FR8530004079603302026758400,ZN3504005,-314486
FR5530004960689399383679001,ZN3504005,5318463
FR7730004733896228511961301,AE2720444,40606
FR9330004747698129002221400,WQ2671466,22122
FR1530004695945746103679900,WQ2671466,41055
FR4830004211797596422890101,JY5894424,34299
FR6130004475987739387827000,LV5336040,7509
FR8930004739138090540294500,LV5336040,603805
FR9030004566773551035175700,LV5336040,3546
FR7930004809131521664467101,LV5336040,37490
FR5130004286448335336271800,LV5336040,-154369
FR8730004631258825355353301,LF7412342,-25629
FR7630004038521400859824301,NH3982262,47519
FR4030004523510619773375300,NH3982262,32046
FR7230004193730253201643500,NH3982262,376914
FR3430004427360002935973400,NH3982262,111
FR7930004630271037965857200,ZG9012409,-95929
FR9830004016240505145464101,AP7033813,40060
FR8230004020508348036438901,AP7033813,87502
FR1330004443517968942141100,FG4151944,6372
FR4430004480547093735021801,FG4151944,44352
FR4030004523516678758963200,HP3902349,579717
FR8830004374366911170911901,PS1169964,36099
FR4630004553933977072333001,NL6158391,42362
FR5730004686110261022104000,HB4670254,16893
FR8730004625912287448916401,GW3820437,610776
FR1330004851312197848524901,SR2883679,191623
FR2530004434025653970830100,SR2883679,-44456
FR9530004777956786428528301,YB3796320,-243474
FR7130004648263729142400501,DP0211148,49707
FR7530004129453182902302900,DP0211148,-35852
FR5430004036946278728031001,YQ1002529,165180
FR9230004357308952546292000,YQ1002529,885286
FR9430004405560713175260200,YQ1002529,2238
FR8530004972745325652161101,IN1053435,-41475
FR5430004089247217954965501,IN1053435,575511
FR1930004491983320135087001,YD2654766,43625
FR1730004615208467707928201,YD2654766,41207
FR8230004020505158805050601,YD2654766,23681
FR3330004450766501053070001,LN9455165,48743
FR6230004213094849419288700,KC0334149,-6224
FR7530004964102166816302800,GH7454562,10677
FR5430004692891034424072600,PD9032841,45478
FR0230004773809801953388700,SR0797389,9643
FR3630004469575061549900701,SR0797389,-192594
FR7530004820881587823345900,RD3323166,19611
FR9330004747692115320682901,VQ2371938,21914
FR1430004243329812950005300,VQ2371938,7447
FR7530004964104756102298601,LF2195939,-57749
FR1330004162206794082429901,TI1171244,13761
FR8330004585439388398715101,NG2045071,-437060
FR8230004851256629828257401,DD6810573,47105
FR8630004423871905721621301,DD6810573,687180
FR2930004325278835282066701,GJ9663128,-71196
FR0930004412679544159687701,GJ9663128,-70664
FR0030004974757160254418801,EO6641384,646647
FR7030004094583907339334001,EO6641384,445842
FR3430004044303112765933900,SV3842261,12513
FR9530004101676713933408501,SV3842261,-296557
FR4230004671648368450675201,DC8385958,268080
FR6330004626036760855653601,DC8385958,-361597
FR3430004427366331240390000,DC8385958,107097
FR6230004141841286242332301,VA0913023,-46892
FR0330004363059354128885701,AL8854881,3557
FR1530004015139240786121000,JL0876306,-44811
FR0230004773804655364663300,JL0876306,43517898
FR4130004639373902777980200,JL0876306,27702
FR0430004431254207026949200,JL0876306,154187
FR9230004357307095806764601,HY2196677,10136
FR6030004367597684660455700,BJ5247741,75284
FR9530004101674688102972800,WU7004381,25395
FR1530004015131819125539201,VZ1302661,347390
FR3630004053098213639949000,HK2275596,991452
FR6130004291643010394206501,HK2275596,84416
FR8830004949594728096976100,RQ4891684,49224
FR2030004531846500179148300,JR0036041,63076
FR5730004686118621725478100,JR0036041,4283
FR1630004461763317739747001,LS5108033,299114
FR2930004854172187124683300,LS5108033,-164119
FR9030004566771966436867100,MB8783329,14220
FR4630004553930109777679301,AY8852581,22217
FR3630004053091020857008301,DQ5332746,-97194
FR9830004359737628208717201,DQ5332746,45565
FR9230004591409385460695301,QJ0096220,-27561
FR6230004141841880842736601,QJ0096220,-287846
FR5530004286814088652089100,LT5664887,1632
FR7230004634689959877718200,LT5664887,-14998
FR1730004391199679313778801,LT5664887,302
FR1230004112781978133051901,LT5664887,-49026
FR2530004434027397641212100,GA0677637,31871
FR2730004292403195025022601,ZW9313449,-33297
FR4730004783988379742192300,ZW9313449,41008
FR2330004885642972450285701,ZW9313449,46867
FR1530004695946694772294401,QN1395876,9724
FR7530004820887520191834600,KD8743605,32937
FR1530004695943626684197500,IW0923996,7602138
FR9530004101673377863530000,IW0923996,8449
FR8830004443002698292893201,IW0923996,-36876
FR6430004728024240049912901,FB6445504,35981
FR2730004088326748854339701,FB6445504,21595
FR0230004773802909167984400,UR5799890,28038
FR9830004333596422090181601,UR5799890,-310213
FR6030004367591045663530300,UB7864847,68575
FR1730004615204154135446200,BE7500297,-334829
FR3130004753685488846229800,TT1618222,-104222
FR5530004286811886232771400,UZ6226473,-448273
FR3730004331949049179984100,EP7295958,-18233
FR7030004893741843763992501,EP7295958,178552
FR0930004227835854856954501,IC7333392,25391
FR2230004916335979265480200,IC7333392,-69844
FR3630004469576161704939601,PJ6699239,45907
FR9530004101677632871354501,PJ6699239,48411
FR9030004132618558868500400,DO6839195,25564
FR0430004916208667646181400,DO6839195,189319
FR5530004368815383920795500,WT7282771,4406
FR7030004407484045660332501,WT7282771,39132
FR0330004035234852488695000,MW0750351,27418
FR9230004399784285543991300,KU7673817,8570973
FR1030004118995529761700000,KU7673817,-3012
FR5430004302371243505289800,KU7673817,47972
FR6730004992477188491484500,UG8675356,174473
FR9630004523631394281211100,UG8675356,30762
FR6230004213098650960294201,UG8675356,40748
FR7230004634680583232202101,JZ6110320,-30541
FR1730004773345301279063001,JZ6110320,719726
FR0730004108778791975940500,JZ6110320,23661
FR1630004994636597392870401,WT8389974,-285030
FR6730004392704229796071500,WT8389974,86238
FR4330004382072436108493401,FY6774818,19697
FR6030004367592594057332600,FY6774818,-78250
FR1830004114903853164190201,MD7370621,5454
FR2530004434025234700472400,YB9555197,150183
FR9030004810288197892454601,YB9555197,88092
FR7130004898534542578015301,YB9555197,-24525
FR6430004539110503847143700,YB9555197,1633958
FR9530004101673488447639000,YB9555197,-10215
FR5530004960681876393966901,MI4822207,397101
FR1130004708645983623670501,MI4822207,11503
FR6030004733854871007971101,MI4822207,538626
FR9430004405569865640745700,EQ4597465,61545
FR9230004357302012510360200,EQ4597465,-29967
FR9230004399785324672266100,EQ4597465,-10214
FR3930004537475615313619800,EQ4597465,124153
FR8830004374363855570980901,EQ4597465,-20321
FR7330004576458776545114301,TA5920338,7262
FR8230004329018965658621801,TA5920338,34565
FR8230004020502554996396001,TA5920338,-12648
FR9830004359738628302080701,MD2670410,124900
FR1030004236749106907012501,MD2670410,78440
FR7230004193730834659787800,IB9156082,32836
FR9630004726812778705147900,IB9156082,-3911
FR8530004079606625156054601,IB9156082,8090
FR0430004196563803958771000,IE9404085,46995
FR8830004107907198220154801,UI0116984,899498
FR7930004612830151880132101,FD7045212,32883
FR1130004708644441618146300,LM9861965,872435
FR0630004253459685933476901,MN8745022,14616
FR1230004610234421049738600,WT5417420,13964
FR1330004162204692901562000,WT5417420,32540
FR6730004392701204378560800,UW6181506,17322
FR9630004448696076160935901,UW6181506,-13031
FR8730004625919218826505901,MF9822639,141367
FR1530004695942307067902700,ST8457958,405534
FR7930004612834653608763800,UU9340382,144259
FR3130004837540029925762201,UU9340382,4713
FR4930004919162322349896901,PL4294609,37626
FR3030004068626198694227600,TO0835451,42058
FR4030004523513874960607601,VV3437441,-13941
FR4330004093109057484995400,EV3963408,944825
FR8430004859194048025961701,EV3963408,122356
FR4830004028703618626377900,AM0830497,799280
FR4130004639376286127291000,AM0830497,-58270
FR1230004350567602266529701,HK2115432,2575
FR8830004443002897102162000,DF1521626,233198
FR4830004028708313429237701,DF1521626,36211
FR3530004209105532190283900,DL4694478,-242502
FR8630004423878575108820100,DL4694478,-20622
FR2430004483095263819780900,DL4694478,100023
FR5730004686116345364524700,DL4694478,-376282
FR1030004118993986644047101,WT3477325,-32434
FR2530004434028789904168201,SI5112367,-48201
FR8930004640200714317570401,SI5112367,830877
FR1230004350564658453929901,TR4619050,9724
FR7530004820882233343589101,LL2773838,127552
FR1630004461762249596293501,LL2773838,20727
FR4130004639379989535603901,LL2773838,46317
FR6730004992477063139206700,MX9847782,-35029
FR4230004671648250101496301,YH6829432,101064
FR6430004539116054003079300,YH6829432,10851
FR0030004974750550604097901,EN9147156,36711
FR7130004898531217793063401,SP2497937,95645
FR7330004866603642337631401,DV1779220,49013
FR8230004020504715391049400,QP0632338,35661
FR3430004324323021265763200,YC9783226,103
FR3730004331650075553723600,YC9783226,-67076
FR9530004777953441328982000,YC9783226,27650
FR2930004854174911536266800,AW5430100,188899
FR1330004851319049588388101,HW2233725,16395
FR1030004072902530783613700,OD9664530,12707
FR6930004548469902205700800,OD9664530,-392375
FR6730004392706773681698400,OD9664530,356435
FR1730004710517338201860300,EV2628236,652044
FR7530004129455068765981300,EV2628236,18918
FR2230004916330976037220301,FD5591936,603065
FR6230004141849437584955800,FD5591936,23800
FR4230004671644612440400201,LF8932012,753
FR7230004193731043660335501,PO6103285,21423
FR7930004630275199510216501,PS7137066,27946
FR2030004531846339670520600,PS7137066,-2077
FR5430004089240780050163500,PS7137066,33448
FR0830004072229907226778700,PG7960715,186319
FR7730004819803380655015401,PG7960715,37858
FR3130004753684033721573301,NV6700045,-483867
FR9330004175809602398932201,NV6700045,11212
FR4030004335010450507972101,NV6700045,-265293
FR9230004399784555598706800,NV6700045,14488
FR5430004036946081597582801,NV6700045,-464195
FR7130004111569560574376600,TY9140159,-67436
FR8330004585434808449218201,CA5522569,655317
FR7030004893740539230578300,JG7202837,-424693
FR3430004324325182944222600,JG7202837,199591
FR7730004819803664602159001,SP0174838,8317
FR7730004819805040946504101,SP0174838,580536
FR8730004567288055821993901,SP0174838,1783
FR4030004523512920466439700,GM4195503,97227
FR1130004070168524702687400,QI9834481,10902
FR9030004810288712695830700,NK9271442,32579
FR7930004809139750533701501,NK9271442,28860
FR9630004728775684630406501,JI8449902,-85772
FR7830004343657643347634700,JI8449902,43784
FR9530004777957676754457801,JI8449902,-280492
FR7930004630277347408957400,OV1004668,43966
FR1430004243328225447324501,OV1004668,88839
FR7030004407483498581033201,OV1004668,46778
FR6130004291645601701919201,IF3681419,266265
FR4630004553937735531308900,IF3681419,6569
FR1130004574840579864868700,IF3681419,-19738
FR8930004739136342028758501,PT0982675,46418
FR1230004112781996573322500,PT0982675,-65957
FR4730004705804738993457401,EU4713570,25751
FR9830004333596730373194700,EU4713570,30654
FR7030004893747827577303101,TG7987608,28586
FR5430004036946983866636701,TG7987608,31389
FR8230004329018093778660100,JK6453110,5942
FR0430004916202416951981901,JK6453110,41970
FR4630004174325889708419600,YK5291528,21154
FR7130004111560408642948600,HA1977307,-38846
FR8830004107902497479643001,CH7056052,9579
FR7130004898532809893269800,CH7056052,158593
FR4830004211794508861399901,CD4011400,-38580
FR1330004162205610382543101,XU8656027,-14798
FR7530004232454217824481000,XU8656027,21890
FR7630004038525275623350901,XU8656027,44826
FR6430004539116300585809801,XU8656027,734722
FR3230004069067123740652700,WY2082723,47146
FR5430004089246541106716401,DE6563717,9303
FR1630004994635658241618501,DE6563717,99262
FR3930004121361883756714701,YM4136728,-52693
FR1830004114905969157752600,YM4136728,161854
FR9330004747693463479277501,UF1873127,6558
FR9230004591404863181484101,UF1873127,11723
FR3730004331945697560954901,GR7902581,20520
FR7030004893747377934934301,GR7902581,18908
FR7230004078531636648406700,GR7902581,138746
FR7930004368574466603064601,OG5921365,-218881
FR8830004949596360104253801,OG5921365,-40001
FR4330004093107968470346500,HC2033963,26993
FR0330004035232438088477701,JD9222686,25858
FR3730004331654255770537001,NM7627463,-39821
FR7130004648267203738137100,NM7627463,134967
FR8330004585439022861398000,UI6276908,80330
FR1730004391195278803787301,UI6276908,4103038
FR8330004585430935728899101,UI6276908,-15656
FR4030004523513700703302801,BR4355166,-25965
FR6230004141843435036753601,AU2393619,2661
FR8830004443001400968351601,KE0183024,60306
FR0030004974751347217768101,KE0183024,42302
FR4730004749481224086726000,KE0183024,174787
FR6030004367590552716962700,KE0183024,133973
FR9630004523630500450227501,HJ5470570,38616
FR1230004610231335479948901,HJ5470570,970
FR1530004695940948741288400,YK8770906,5140
FR7930004809139552012193000,YK8770906,54626
FR9430004405563922654534900,AU4932052,20882
FR0730004150145782067352801,AU4932052,41284
FR9030004132613707413580000,DI2606185,32028
FR5430004085510076839490400,DI2606185,180793
FR8230004851258669825224000,MG9080577,35806
FR9330004175804638768008800,MG9080577,38947
FR0130004806913272826677501,GZ8587613,187927
FR0030004974757801428891800,RP7444938,-77913
FR9830004359739968888663000,RP7444938,-90618
FR0730004128694461761489001,QN2522883,-286017
FR3030004068620005531987900,QN2522883,630284
FR4730004783989436195050301,DP9640402,138501
FR9330004747692569293599801,DP9640402,-39813
FR9330004747690228683772700,DP9640402,-75956
FR0330004001947903459951400,QK7293568,8513
FR0930004227830940707281600,QK7293568,76993
FR6530004097696782035160101,MD4588818,-56607
FR0930004227833372700930301,MD4588818,20028
FR2230004916335370801678601,MU9278122,6823
FR9630004728770583005614001,MU9278122,42890
FR7030004094582158564510300,MU9278122,-317359
FR9530004101675575503305800,ZZ4205720,39566
FR1630004994634656190260100,ZZ4205720,612770
